2020-04-14 16:16:10,116 +0530 [main] INFO  (Log.java:25) - ****************************************************************************************
2020-04-14 16:16:10,121 +0530 [main] INFO  (Log.java:27) - $$$$$$$$$$$$$$$$$$$$$         runtest       		 $$$$$$$$$$$$$$$$$$$$$$$$$
2020-04-14 16:16:10,124 +0530 [main] INFO  (Log.java:29) - ****************************************************************************************
2020-04-14 16:16:17,087 +0530 [main] INFO  (NewsMailer.java:82) - Heading Number 1
2020-04-14 16:16:17,090 +0530 [main] INFO  (NewsMailer.java:83) - HeadingName=Qatar economy seems to have entered new normal: Euler Hermes Date=April 09 2020
2020-04-14 16:16:36,096 +0530 [main] INFO  (NewsMailer.java:102) - NewWindowHeadingName=Qatar economy seems to have entered new normal: Euler Hermes NewWindowDate=April 09 2020
2020-04-14 16:16:36,559 +0530 [main] INFO  (NewsMailer.java:82) - Heading Number 2
2020-04-14 16:16:36,559 +0530 [main] INFO  (NewsMailer.java:83) - HeadingName=Qatar real GDP edges down in Q4 on hydrocarbons, manufacturing: PSA Date=April 09 2020
2020-04-14 16:16:44,897 +0530 [main] INFO  (NewsMailer.java:102) - NewWindowHeadingName=Qatar real GDP edges down in Q4 on hydrocarbons, manufacturing: PSA NewWindowDate=April 09 2020
2020-04-14 16:16:45,355 +0530 [main] INFO  (NewsMailer.java:82) - Heading Number 3
2020-04-14 16:16:45,355 +0530 [main] INFO  (NewsMailer.java:83) - HeadingName=Qatar's GDP falls 0.6% year-on-year in fourth quarter Date=April 08 2020
2020-04-14 16:18:37,703 +0530 [main] INFO  (NewsMailer.java:102) - NewWindowHeadingName=Qatar's GDP falls 0.6% year-on-year in fourth quarter | ZAWYA MENA Edition NewWindowDate=2020
2020-04-14 16:18:38,081 +0530 [main] INFO  (NewsMailer.java:82) - Heading Number 4
2020-04-14 16:18:38,084 +0530 [main] INFO  (NewsMailer.java:83) - HeadingName=Qatar’s robust economic performance to overpower COVID-19 out-turn: Ezdan Date=April 06 2020
2020-04-14 16:19:33,233 +0530 [main] INFO  (NewsMailer.java:102) - NewWindowHeadingName=Qatar’s robust economic performance to overpower COVID-19 out-turn: Ezdan - The Peninsula Qatar NewWindowDate= 06 Apr 2020
2020-04-14 16:19:33,595 +0530 [main] INFO  (NewsMailer.java:82) - Heading Number 5
2020-04-14 16:19:33,598 +0530 [main] INFO  (NewsMailer.java:83) - HeadingName=Qatar able to afford more fiscal support amid Covid-19 crisis: Oxford Economics Date=April 05 2020
2020-04-14 16:19:40,343 +0530 [main] INFO  (NewsMailer.java:102) - NewWindowHeadingName=Qatar able to afford more fiscal support amid Covid-19 crisis: Oxford Economics NewWindowDate=April 05 2020
2020-04-14 16:19:40,816 +0530 [main] INFO  (NewsMailer.java:82) - Heading Number 6
2020-04-14 16:19:40,816 +0530 [main] INFO  (NewsMailer.java:83) - HeadingName=QC Chairman: Private sector's performance in crisis proves its successful partnership with the government in the development process Date=April 05 2020
2020-04-14 16:19:45,889 +0530 [main] INFO  (NewsMailer.java:102) - NewWindowHeadingName=QC Chairman: Private sector's performance in crisis proves its successful partnership with the government in the development process NewWindowDate=April 05 2020
2020-04-14 16:19:46,302 +0530 [main] INFO  (NewsMailer.java:82) - Heading Number 7
2020-04-14 16:19:46,302 +0530 [main] INFO  (NewsMailer.java:83) - HeadingName=Qatar-US trade volume stood at QR1.66bn in January Date=April 05 2020
2020-04-14 16:20:40,195 +0530 [main] INFO  (NewsMailer.java:102) - NewWindowHeadingName=Qatar-US trade volume stood at QR1.66bn in January - The Peninsula Qatar NewWindowDate= 05 Apr 2020
2020-04-14 16:20:40,561 +0530 [main] INFO  (NewsMailer.java:82) - Heading Number 8
